Time,Reading
2023-10-05 22:01:56,-14.1
2023-10-05 22:02:26,-14.0
2023-10-05 22:02:56,-13.9
2023-10-05 22:03:26,-13.8
2023-10-05 22:03:56,-13.8
2023-10-05 22:04:26,-13.7
2023-10-05 22:04:56,-13.6
2023-10-05 22:05:26,-13.5
2023-10-05 22:05:56,-13.5
2023-10-05 22:06:25,-13.4
2023-10-05 22:06:56,-13.3
2023-10-05 22:07:26,-13.2
2023-10-05 22:07:56,-13.2
2023-10-05 22:08:26,-13.1
2023-10-05 22:08:56,-13.0
2023-10-05 22:09:26,-12.9
2023-10-05 22:09:56,-12.8
2023-10-05 22:10:26,-12.8
2023-10-05 22:10:56,-12.7
2023-10-05 22:11:26,-12.6
2023-10-05 22:11:56,-12.6
2023-10-05 22:12:26,-12.5
2023-10-05 22:12:55,-12.4
2023-10-05 22:13:26,-12.3
2023-10-05 22:13:56,-12.3
2023-10-05 22:14:26,-12.3
2023-10-05 22:14:56,-12.2
2023-10-05 22:15:26,-12.2
2023-10-05 22:15:56,-12.3
2023-10-05 22:16:26,-12.3
2023-10-05 22:16:56,-12.4
2023-10-05 22:17:26,-12.5
2023-10-05 22:17:56,-12.5
2023-10-05 22:18:26,-12.6
2023-10-05 22:18:56,-12.7
2023-10-05 22:19:25,-12.8
2023-10-05 22:19:56,-13.0
2023-10-05 22:20:26,-13.1
2023-10-05 22:20:56,-13.2
2023-10-05 22:21:26,-13.3
2023-10-05 22:21:56,-13.4
2023-10-05 22:22:26,-13.6
2023-10-05 22:22:56,-13.7
2023-10-05 22:23:26,-13.8
2023-10-05 22:23:56,-15.0
2023-10-05 22:24:26,-14.1
2023-10-05 22:24:56,-14.2
2023-10-05 22:25:26,-14.4
2023-10-05 22:25:55,-14.5
2023-10-05 22:26:26,-14.6
2023-10-05 22:26:56,-14.7
2023-10-05 22:27:26,-14.9
2023-10-05 22:27:56,-15.0
2023-10-05 22:28:26,-15.1
2023-10-05 22:28:56,-15.3
2023-10-05 22:29:26,-15.4
2023-10-05 22:29:56,-15.5
2023-10-05 22:30:26,-15.6
2023-10-05 22:30:56,-15.8
2023-10-05 22:31:26,-15.9
2023-10-05 22:31:56,-16.0
2023-10-05 22:32:25,-16.1
2023-10-05 22:32:56,-16.2
2023-10-05 22:33:26,-16.3
2023-10-05 22:33:56,-16.5
2023-10-05 22:34:26,-16.6
2023-10-05 22:34:56,-16.7
2023-10-05 22:35:26,-16.8
2023-10-05 22:35:56,-16.9
2023-10-05 22:36:26,-17.0
2023-10-05 22:36:56,-17.1
2023-10-05 22:37:26,-17.2
2023-10-05 22:37:56,-17.3
2023-10-05 22:38:26,-17.4
2023-10-05 22:38:55,-17.5
2023-10-05 22:39:26,-17.6
2023-10-05 22:39:56,-17.7
2023-10-05 22:40:26,-17.8
2023-10-05 22:40:56,-17.9
2023-10-05 22:41:26,-18.0
2023-10-05 22:41:56,-18.1
2023-10-05 22:42:26,-18.2
2023-10-05 22:42:56,-18.2
2023-10-05 22:43:26,-18.4
2023-10-05 22:43:56,-18.4
2023-10-05 22:44:26,-18.5
2023-10-05 22:44:56,-18.6
2023-10-05 22:45:26,-18.7
2023-10-05 22:45:56,-18.8
2023-10-05 22:46:26,-18.8
2023-10-05 22:46:56,-18.9
2023-10-05 22:47:26,-19.0
2023-10-05 22:47:56,-19.1
2023-10-05 22:48:26,-19.1
2023-10-05 22:48:56,-19.2
2023-10-05 22:49:26,-19.3
